lat,lon
53.26,13.49
53.14,14.20
53.06,11.29
53.10,11.45
53.09,12.05
53.11,12.29
53.06,13.02
53.11,13.39
53.03,12.46
53.08,14.07
53.02,14.14
53.06,11.52
52.58,13.20
53.01,13.43
52.44,12.30
52.44,13.01
52.40,13.11
52.45,13.50
52.46,14.13
52.22,12.23
52.37,12.47
52.32,13.07
52.35,13.34
52.35,13.56
52.31,14.07
52.25,12.34
52.24,12.47
52.15,13.14
52.11,14.34
52.10,12.44
52.06,13.00
52.09,13.50
52.22,14.15
52.01,14.44
51.55,13.05
51.46,13.28
51.56,13.53
51.48,13.58
51.59,14.18
51.34,14.29
51.27,13.31
51.34,13.53
52.38,13.30
52.32,13.34
52.24,13.44
52.17,7.52
52.27,8.35
52.23,9.01
52.08,7.19
52.15,7.38
52.21,8.39
51.58,7.10
52.07,7.52
52.01,7.51
52.09,8.31
52.04,8.28
51.46,6.06
50.25,6.34
51.49,7.05
51.46,7.31
51.46,7.45
51.59,8.13
51.56,8.19
51.56,8.46
51.42,6.24
51.44,7.12
51.43,7.22
51.43,8.03
51.47,8.34
51.43,8.35
51.38,8.23
51.43,9.10
51.52,6.53
51.35,6.47
51.29,7.16
51.36,7.24
51.29,7.47
51.32,8.11
51.30,8.26
51.32,8.47
51.34,9.14
51.18,6.12
51.17,6.26
51.20,7.20
51.15,7.28
51.13,7.07
51.17,7.51
51.28,7.59
51.25,8.01
51.16,8.10
51.26,8.16
51.25,8.39
51.02,6.06
50.59,7.41
51.07,6.51
51.08,7.05
51.11,7.15
51.10,7.25
51.05,7.38
51.07,7.53
51.08,8.02
51.13,8.16
51.10,8.43
50.56,6.20
51.01,6.31
50.59,6.59
50.58,7.17
51.08,6.22
50.56,7.51
51.01,8.26
50.59,8.22
50.40,6.25
50.50,7.22
50.51,8.00
51.01,8.16
50.46,8.08
50.31,6.13
50.43,6.47
50.30,6.32
49.32,6.23
49.28,6.38
49.33,6.49
49.34,7.04
49.25,6.50
49.20,7.14
49.20,7.22
49.14,6.56
50.44,7.39
50.47,7.50
50.32,7.05
50.34,7.29
50.35,7.41
50.40,7.48
50.42,8.05
50.33,7.16
50.26,7.40
50.31,7.44
50.33,7.58
50.17,6.25
50.18,6.23
50.19,6.37
50.24,6.52
50.23,6.59
50.18,7.19
50.19,7.47
50.26,7.49
50.25,7.56
50.22,8.03
50.14,6.13
50.05,6.19
50.11,6.22
50.09,6.33
50.08,6.36
50.14,6.45
50.10,6.46
50.07,6.55
50.11,7.14
50.15,7.44
50.16,7.49
50.12,7.52
49.56,6.15
49.56,6.23
49.59,6.32
50.06,6.40
50.06,6.48
49.58,6.56
50.02,7.18
50.05,7.34
49.56,7.23
49.49,6.35
49.56,6.38
49.52,6.43
49.44,6.55
49.53,7.11
49.48,7.14
49.54,7.35
49.51,7.32
49.51,7.51
49.58,8.13
49.52,8.14
49.44,6.37
49.44,6.42
49.44,7.08
49.47,7.29
49.42,7.50
49.44,8.07
49.37,8.22
49.34,6.27
49.35,6.41
49.32,7.26
49.28,7.25
49.37,7.38
49.36,7.44
49.39,7.53
49.38,7.30
49.32,7.53
49.34,8.11
49.26,7.44
49.21,7.47
49.28,8.11
49.15,7.20
49.11,7.36
49.16,7.50
49.10,8.18
49.03,7.46
49.05,7.50
49.07,8.00
51.35,9.26
51.37,9.35
51.29,9.15
51.17,8.35
51.17,8.47
51.20,8.55
51.14,8.58
51.20,9.05
51.19,9.04
51.22,9.45
51.04,8.32
51.05,8.53
51.02,8.49
51.10,8.52
51.04,9.23
51.13,9.41
51.03,9.55
51.11,10.04
51.11,9.59
51.02,10.09
50.55,8.41
50.51,8.46
50.58,9.03
50.53,9.25
50.38,8.11
50.44,8.16
50.47,8.57
50.46,9.16
50.44,9.20
50.44,9.40
50.31,8.08
50.34,8.14
50.35,8.28
50.29,9.07
50.35,9.17
50.37,9.43
50.38,10.01
50.23,8.08
50.26,8.23
50.17,8.17
50.27,8.44
50.22,8.46
50.24,9.13
50.20,9.33
51.27,9.25
50.11,8.05
50.16,8.22
50.15,8.34
50.13,8.44
50.16,8.52
50.16,9.11
50.14,9.17
50.16,9.22
50.03,7.53
50.02,8.14
50.08,8.19
50.01,8.26
50.08,8.40
50.08,8.49
49.55,8.27
49.53,8.41
49.59,8.50
51.29,9.37
49.55,8.58
49.43,8.41
49.49,8.49
49.41,9.01
49.34,8.42
49.34,8.58
51.35,10.43
51.25,10.11
51.20,10.32
51.13,10.29
51.14,10.46
51.16,11.11
51.09,11.20
51.10,10.15
51.04,10.52
51.06,11.03
50.50,10.15
51.01,10.31
51.01,11.21
50.59,12.00
51.03,12.18
50.59,12.20
50.51,12.25
50.54,10.33
50.56,11.35
50.52,11.30
50.54,11.48
50.51,10.29
50.52,10.49
50.48,11.10
50.46,11.59
50.43,9.57
50.44,10.53
50.38,11.11
50.41,11.31
50.44,11.50
50.40,12.05
50.32,10.03
50.35,10.52
50.31,10.46
50.33,11.02
50.25,10.29
50.25,10.49
