"lat","lon","name"
51.49,6.57,"DE|NRW|Düsseldorf"
50.3,10.03,"DE|BY|Unterfranken"
52.25,11.19,"DE|SA|Börde"
49.05,9.28,"DE|BW|Süd"
51.19,26.37,"UA|Rivne Oblast|Sarnens'kyi district"
47.56,9.33,"CH|TG|Arbon"
47.41,9.26,"CH|SG|St. Gallen"
47.41,12.01,"AT|Tyrol|Tirol"
44.32,7.37,"IT|Piemonte|Piedmont"
48.55,11.53,"DE|BY|Oberbayern"
49.32,12.24,"DE|BY|Oberpfalz"
54.05,10.53,"DE|SH|Segeberg"
48.42,12.53,"DE|BY|Oberbayern"
41.3,9.06,""
53.55,13.03,"DE|MV|Müritz"
45.59,9.16,"IT|Lombardy|Lombardia"
52.45,9,"DE|NRW|Detmold"
52.45,13.5,"DE|BE|Dahme-Spreewald"
51.27,11.04,"DE|TH|SÖM"
32.06,20.16,"LY|Benghazi district|Banghazi"
61.42,17.31,"SE"
54.1,6.21,""
48.02,9.29,"DE|BW|TÜ"
49.01,1.13,"FR|Normandie|Normandy"
41.38,13.18,"IT|Lazio|LT"
42.59,21.57,"XK|Gnjilane District|Kamenicë"
49.52,11.54,"DE|BY|Mittelfranken"
49.52,10.29,"DE|BY|Mittelfranken"
51.21,7.34,"DE|NRW|K"
47.55,7.53,"CH|BL|Arlesheim District"
50.35,9.17,"DE|HE|DA"
50.45,7.5,"DE|RP|K"
49.35,11.42,"DE|BY|Oberpfalz"
17.01,121,"PH|CAR|Mountain Province"
53.44,9.53,"DE|NDS|STD"
32.3,38.12,"JO|Mafraq Governorate|Rwaished District"
43.41,0.36,"FR|Occitanie|Gers"
51.54,8.39,"DE|NRW|Arnsberg"
67.46,22.21,"SE|Norrbotten County|Norrbottens län"
50.12,9.11,"DE|BY|Lower Franconia"
50.31,8.08,"DE|RP|Rhein-Lahn-Kreis"
51.44,9.28,"DE|HE|KS"
50.49,6.18,"BE|Région Wallonne|Wallonia"
47.31,10.3,"DE|BY|Schwaben"
29.03,111.41,"CN|Hu Nan Sheng|Hunan"
49.31,8.33,"DE|RP|KA"
31.34,130.33,"JP|Kagoshima|Minamikyūshū"
47.2,12.44,"AT|Salzburg|Zell am See"
29.29,34.59,"EG|South Sinai Governorate|Nuweiba"
52.31,11.08,"DE|SA|Börde"
31.28,104.41,"CN|Si Chuan Sheng|Sichuan"
49.27,6.38,"FR|Grand Est|Moselle"
52.32,12.21,"DE|SA|JL"
38.04,15.39,"IT|Sicilia|Sicily"
49.27,12.26,"DE|BY|Oberpfalz"
53.34,10.41,"DE|NDS|LG"
36.03,103.53,"CN|Gan Su Sheng|Gansu"
51.47,10.39,"DE|TH|EIC"
48.2,19.44,"SK|Banskobystrický kraj|Banská Bystrica Region"
27.03,88.16,"IN|WB|Darjeeling"
54.04,21.22,"PL|Warmińsko-Mazurskie|Warmian-Masurian Voivodeship"
63.06,21.35,"FI|Ostrobothnia|Vaasa Province"
50.06,6.4,"DE|RP|Eifelkreis Bitburg-Prüm"
41.32,15.43,"IT|Puglia|Apulia"
48.31,8.05,"DE|BW|Freiburg"
48.31,11.05,"DE|BY|Schwaben"
44.59,16.45,"BA|Federacija Bosne i Hercegovine|Federation of Bosnia and Herzegovina"
52.06,7.15,"DE|NRW|MS"
50.15,11.23,"DE|BY|Oberfranken"
48.57,11.43,"DE|BY|Upper Bavaria"
51.41,55.06,"RU|Orenburgskaya oblast'|Orenburg Oblast"
52.09,11.13,"DE|SA|Börde"
51.34,11.13,"DE|TH|Kyffhäuserkreis"
49.26,11.15,"DE|BY|Mittelfranken"
49.53,11.16,"DE|BY|Middle Franconia"
51.59,8.13,"DE|NRW|Arnsberg"
49.53,8.41,"DE|RP|KA"
51.03,14.16,"DE|SN|Sächsische Schweiz-Osterzgebirge"
52.16,9.39,"DE|NDS|Hameln-Pyrmont"
41.34,46.4,"GE|Kakheti|Arkhiloskalo"
30.17,36.09,"JO|Ma'an Governorate|Jafr Sub-District"
43.54,125.13,"CN|Ji Lin Sheng|Jilin"
48.34,8.13,"DE|BW|Freiburg"
48.34,9.38,"DE|BW|TÜ"
5.52,95.19,"ID|Aceh|Aceh Besar Regency"
51.45,14.19,"DE|SN|BZ"
51.39,11.08,"DE|TH|Kyffhäuserkreis"
38.54,121.38,"CN|Liaoning|Dalian"
48.14,11.33,"DE|BY|Oberbayern"
48.22,13.11,"AT|Upper Austria|Oberösterreich"
61.06,10.27,"NO|Innlandet|Lillehammer Municipality"
79.33,90.37,"RU"
50.56,7.51,"DE|RP|K"
50.11,8.05,"DE|HE|DA"
48.4,11.2,"DE|BY|Upper Bavaria"
41.22,9.11,"IT|Sardegna|SS"
52.01,8.37,"DE|NRW|Detmold"
50.26,7.06,"DE|RP|K"
48.03,12.13,"DE|BY|Oberbayern"
52.15,22.15,"PL|Masovian Voivodeship|Mazowieckie"
53.09,12.1,"DE|BB|Prignitz"
51.53,12.38,"DE|SN|Nordsachsen"
54.1,10.33,"DE|SH|Segeberg"
50.26,12.37,"CZ|Karlovarský kraj|Karlovy Vary Region"
40.39,47.45,"AZ|Ağdaş|Agdash"
55.35,12.08,"DK|Region Zealand|Faxe"
49.34,8.1,"DE|RP|Neustadt an der Weinstraße"
50.41,7.43,"DE|RP|Mayen-Koblenz"
50.35,6.29,"BE|Wallonia|Région Wallonne"
50.35,11.08,"DE|BY|Oberfranken"
22.49,108.21,"CN|Guang Xi Zhuang Zu Zi Zhi Qu|Guangxi"
50.48,7.54,"DE|RP|K"
51.16,11.11,"DE|TH|SÖM"
50.48,6.29,"BE|Région Wallonne|Wallonia"
31.55,131.25,"JP|Miyazaki|Kushima"
51.14,11.55,"DE|SA|BLK"
49.35,12.08,"DE|BY|Oberpfalz"
47.15,9.2,"CH|SG|See-Gaster"
34.35,26.1,""
41.17,2.04,"ES|CT|B"
54.14,13.55,"DE|MV|Landkreis Vorpommern-Greifswald"
54.14,8.55,"DE"
57.33,18.26,"SE|Gotland County|Gotlands län"
51.11,10.02,"DE|HE|KS"
51.3,6.58,"DE|NRW|Düsseldorf"
